Altium Designer Pick and Place Locations
E:\Out Sorce\Shahzaib\Project 01 22-NOV-2023\Design Files\ESP32_Accelerometer\Project Outputs for Free Documents\Pick Place\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       25/11/23
Time:       10:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Layer","Rotation","Comment"
"P2","CONN_HEADER_6P_2mm","23.1234","31.9278","28.1234","31.9278","23.6624","32.0388","TopLayer","180","IO"
"P1","CONN_HEADER_5P_2mm","10.8242","31.9438","14.8242","31.9438","12.3444","31.9278","TopLayer","180","IO"
"U3","ESP32-C3-WROOM-02-N4-4MB","23.6474","13.8938","32.3974","7.8938","23.6474","13.8938","TopLayer","180","ESP32-C3-WROOM-02-N4"
"U2","QFN-24_4x4mm","31.5215","26.3273","29.5215","27.5769","31.5214","26.3398","TopLayer","0","MPU-6050"
"U1","SOT-223","19.9403","26.1644","17.0828","28.4644","19.4564","26.3398","TopLayer","180","AiP1117-3.3GH.TR"
"S2","BUTTON-SMD-2.3x3mm_2P_B3U-1000P","36.7284","18.5110","35.0284","18.5110","36.7284","18.5110","TopLayer","90","B3U-1000P"
"S1","BUTTON-SMD-2.3x3mm_2P_B3U-1000P","36.8554","14.6558","35.1554","14.6558","36.8554","14.6558","TopLayer","90","B3U-1000P"
"R6","RESC1005X04L_C","5.9944","5.3848","5.4944","5.3848","5.9944","5.3848","TopLayer","360","50R"
"R5","RESC1005X04L_C","31.0134","22.5298","31.0134","22.0298","31.0134","22.5298","TopLayer","90","10K"
"R4","RESC1005X04L_C","35.2044","9.8298","35.2044","10.3298","35.2044","9.8298","TopLayer","270","10K"
"R3","RESC1005X04L_C","27.0764","21.8948","26.5764","21.8948","27.0764","21.8948","TopLayer","360","10K"
"R2","RESC1005X04L_C","24.7904","21.8948","25.2904","21.8948","24.7904","21.8948","TopLayer","180","10K"
"R1","RESC1608X06N","8.1534","8.3058","8.1534","7.4558","8.1534","8.3058","TopLayer","360","150R"
"LED1","LED_SMD-0603","3.0988","7.3660","2.3488","7.3660","3.0734","7.4168","TopLayer","360","RED"
"J1","CONN-TH_B2B-PH-K-S","3.4544","23.9268","3.4544","24.9268","3.4544","23.9268","TopLayer","90","BATT"
"D5","LED_SMD_0402-BLUE","2.8879","5.4262","3.4262","5.4262","2.9464","5.3848","TopLayer","0","BLUE"
"D4","SOD-523","11.0936","13.2928","11.0936","12.5428","11.0744","13.2588","TopLayer","90","LESD5D5.0CT1G"
"D3","SOD-523","11.0552","15.8918","11.0552","16.6418","11.0744","15.9258","TopLayer","270","LESD5D5.0CT1G"
"D2","SOD-123FL","10.6934","23.9268","8.9585","23.9268","10.6934","23.9268","TopLayer","180","1N5819HW1-7-F"
"D1","SOD-123FL","10.5664","21.3868","8.8315","21.3868","10.5664","21.3868","TopLayer","180","1N5819HW1-7-F"
"CON1","CONN_USB-B-MICRO-SMD-10118192-0002LF","4.8514","14.2748","6.3387","15.5753","4.8514","14.2748","TopLayer","270","10118192-0002LF"
"C14","CAPC1005X04L","35.5854","20.7518","36.0854","20.7518","35.5854","20.7518","TopLayer","180","100nF"
"C13","CAPC1005X04L","35.7124","11.6078","35.2124","11.6078","35.7124","11.6078","TopLayer","360","1uF"
"C12","CAPC1005X04L","32.2834","22.5298","32.2834","23.0298","32.2834","22.5298","TopLayer","270","100nF"
"C11","CAPC1005X04L","33.0454","29.5148","32.5454","29.5148","33.0454","29.5148","TopLayer","360","2200pF"
"C10","CAPC1005X04L","35.8394","8.0518","35.3394","8.0518","35.8394","8.0518","TopLayer","360","100nF"
"C9","CAPC1005X04L","35.8394","6.7818","35.3394","6.7818","35.8394","6.7818","TopLayer","360","10uF"
"C8","CAPC1005X04L","35.3314","25.0698","34.8314","25.0698","35.3314","25.0698","TopLayer","0","100nF"
"C7","CAPC1005X04L","29.1084","23.1404","29.6084","23.1404","29.1084","23.1404","TopLayer","180","0.01uF"
"C6","CAPC1005X04L","12.4714","15.7734","12.4714","15.2734","12.4714","15.7734","TopLayer","90","22pF"
"C5","CAPC1005X04L","12.4714","13.4109","12.4714","13.9109","12.4714","13.4110","TopLayer","270","22pF"
"C4","CAPC1608X06L","7.2644","25.7048","7.2644","25.0298","7.2644","25.7048","TopLayer","90","10uF"
"C3","CAPC1608X06L","25.6794","27.1018","25.6794","26.4268","25.6794","27.1018","TopLayer","90","22uF"
"C2","CAPC1608X06L","14.3764","23.1648","14.3764","23.8398","14.3764","23.1648","TopLayer","270","10uF"
"C1","CAPC1608X06L","9.1040","18.6182","8.4290","18.6182","9.1040","18.6182","TopLayer","360","10uF"
